id,label
0,HE BEGAN A CONFUSED COMPLAINT AGAINST THE WISARD WHO HAD VANISHED BEHIND THE CURTAIN ON THE LEFT
1,KIVE NOT SO EARNEST TO MIND TO THESE MUMMARY IS CHILD
2,OF GOLDEN FORTUNE AND A HAPPY LIFE
3,HE WAS LIKE HIM TO MY FATHER IN A WAY THEN YET WAS NOT MY FATHER
4,ALSO THERE WAS A STRIPLING PAGE WHO TURNED INTO A MAID
5,THIS WAS SO SWEET ALDEY SIR AND SOME MANNER I DO THINK SHE DIED
6,BUT THEN THE PITCHEOUS GONE AS QUICKLY AS A CAME
7,SISTER NOW DO YOU HEAR THESE MARVELS
8,TAKE YOU OR PLACE AND LET US SEE WHAT THE CRYSPAL CAN SHOW TO YOU
9,LIKE IS NOT YOUNG MASTER THOUGH I AM AN OLD MAN
10,FORTH WITH ALL RAN TO THE OPENING AT THE TENT TO SEE WHAT MIGHT BE AMISS BUT MASTER WILL WHO PEEPED OUT FIRST NEEDED NO MORE THAN ONE GLANCE
11,HE HEAVELY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT
12,CRIES OF UNNOTTINGHAM BUT NOT AGAIN
13,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPITALIST AND TERRIFIED
14,WHAT IS THAT TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUNG IT IS BELT
15,NAY WE WERE FREEDOUS THEY REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER
16,AND THEN LEAPE BECAME VEXED AND WOULD HAVE SNASHED OUR PURSE FROM US
17,I COULD NOT SEE MY BOY INJURED EXCELLENCE FOR BUT DOING HIS DUTY AS ONE OF CUMPERLENG SONS
18,SO BY DID PUSH THIS VILLAI
19,IT IS EVEN ENOUGH SAID GEORGE GAME WILL SHARPLY AS HE TURNED UPON THE CROWD
20,SHEAM ON YOU CITIZENS CRIED HE I BLUSH WERE MY FELLOWS OF NOT AGAIN
21,SURELY WEAKENS OM IT WITH GOOD GRACE
22,TIS FINE FOR YOU TO TALK OLD MAN ANSWERED THE LEAN SOLE AND APPRENTICE
23,BUT I WRESTLED WITH HIS FELLOW AND DO KNOW THAT HE PLAYED UNFAIRLY IN THE SECOND BOUND
24,SPOKE THE SQUIRE LOSING ALL PATIENT AND IT WAS TO YOU THAT I GIVEN THE OUR PERSON CONSOLATION
25,COME TO ME MEN HERE HERE HE RAISED HIS WOISTILL LOUDER
26,THE STROLLERS TOOK THEIR PARTNET WITH HARDEY'S SASK NOW THAT THEY HAD SOME CHANCE OF BEATING OFF THEIR FOES
27,ROBIN IN THE LITTLE TUMPLER BETWEEN THEM TRY TO FORCE THE SQUIRED STAND BACK AND VERY VALIANTLY TO THESE TWO COMPORT THEMSELVES
28,THE HEAD AND CHIEF OF THE RIOH TNOUGTINGHAM APPRENTICE WITH QUENCH FIST THREATENED MONPHICHE
29,THE SQUIRE HELPED TO THRUST THE MALL IN AND ENTERED SWIFTLY HIMSELF
30,NOW BE SILENT ON YOUR LIFES HE BEGAN BUT THE CAPTURED APPRENTICE SET UP AN INSTANT SHOUT
31,SILENCE YOU KNAVE CRIED MANTRISHA
32,HE FELT FOR AND FOUND THE WISTER'S BLACK CLOTH THE SQUIRE WAS QUITE OUT OF BREATH
33,THRUSTING OPEN THE PROPER ENTRANCE OF THE TENT ROBIN SUDDENLY RUSHED FORTH WITH HIS BURDEN WITH A GREAT SHOUT
34,A MOFTICHAE A MONKBY SHAY GAME WILL TO THE RESCUE
35,TAKING ADVANTAGE OF THIS THE SQUIRE'S FEW MEN REDOUBLED THEIR EFFORTS AND ENCOURAGED BY ROBIN IN THE LITTLE STROLLERS CRIES FAUGHT THEIR WAY TO HIM
36,GEORGE MONTH YSHAVE WILL NEVER FORGET THIS DAY
37,WHAT IS YOUR NAME LORDING ASKED A LITTLE STROLLER PRESENTLY
38,ROPIN FITSOUF
39,AND MIND AS WILL STUDY SHALL WE BECOME RADS
40,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED PROBABLED
41,I LIKE YOU WILL YOU ARE THE SECOND WILL THAT I HAVE MET IN LIGHT WITHIN TWO DAYS IS THERE WILL SAW IN AND THAT
42,MONTREY SHAKE CALLED OUT FOR ROBIN TO GIVE HIM AN ARM
43,FOR INS SAID MONTPE SHAYEFAINTLY TO THE RESTLERS THERE US ESCORT SO FAR AT THE SUREST HOUSE
